zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
观景者的留言,觀景者的留言,Memo: An Observer,景色を眺める者のメモ,경치를 감상하던 사람의 메시지,Mémo : un observateur,Memo: Ein Beobachter,Nota: Osservazione,Memorándum: Un observador,Memo: Um Observador,Записка: наблюдатель,บันทึก​: ผู้สังเกตการณ์,Ghi chú: Người Quan Sát,Memo: Seorang Pengamat
应龙队员的备忘录,應龍隊員的備忘錄,Memo: An Yinglung,応龍隊員のメモ帳,응룡 대원의 비망록,Mémo : Yinglung,Notiz: Ein Yinglung,Nota: Uno/a Yinglung,Nota: Un Yinglung,Memo: Um Yinglung,Записка: боец «Инлуна»,บันทึก​: หน่วย​ห​ยิง​หลง,Ghi Chú: Một Đặc Nhiệm Yinglung,Memo: Anggota Yinglung
牺牲应龙的留声,犧牲應龍的留聲,Memo: An Yinglung Who Fell,犠牲になった応龍隊員のメモ,전사한 응룡 대원이 남긴 음성,Note d'un membre des Yinglungs tombé au combat,"Notiz: Ein Yinglung, der fiel",Nota: Un Yinglung caduto,Nota: Un Yinglung caído,Memo: Um Yinglung que Não Resistiu,Записка: павший боец «Инлуна»,บันทึก​: ห​ยิง​หลง​ผู้​ล้ม​ลง,Ghi Chú: Một Đội Đặc Nhiệm Đã Ngã Xuống,Memo: Seorang Yinglung yang Gugur
驮兽饲养员的备忘,馱獸飼養員的備忘錄,Memo: Burdenbeast Handler,駄獣飼育員のメモ,버든비스트 사육사의 메모,Mémo : soigneur de bête de somme,Memo: Monsterbestienbändiger,Nota: Responsabile delle bestie da soma,Memorándum: Encargado de bestia de carga,Memo: Treinador de Besta de Carga,Записка: погонщик вьючников,บันทึก​: ผู้ควบคุม​สัตว์​บรรทุก​ภาระ,Ghi Chú: Người Điều Khiển Quái Thú Chở Hàng,Memo: Pawang Burdenbeast
出差者的留言,出差者的留言,Memo: Business Traveler,出張者のメモ,출장 간 사람이 남긴 메시지,Note d'un homme d'affaires,Memo: Geschäftsreise,Nota: Viaggio d'affari,Memorándum: Viajero de negocios,Memo: Viajante de Negócios,Деловая записка,บันทึก​: นักเดินทาง​เพื่อ​ธุรกิจ,Ghi chú: Thương Nhân Lang Thang,Memo: Orang yang sedang Menempuh Perjalanan Bisnis
呼吁避难的留言,呼籲避難的留言,Memo: Call for Evac,避難を呼びかけるメモ,대피 요청 메시지,Mémo : appel d'évacuation,Memo: Evakuierung,Nota: Richiesta di evacuazione,Memorándum: Llamado de evacuación,Memo: Chamada para Evacuação,Записка: призыв к эвакуации,บันทึก​: คำร้องขอ​การอพยพ,Ghi chú: Kêu gọi sơ tán,Memo: Panggilan Evakuasi
庆祝重启的留言,慶祝重啟的留言,Memo: Celebrate the Reopening,再稼働を祝うメッセージ,재가동 축하 메시지,Mémo : célébrer la réouverture,Memo: Wiedereröffnungsfeier,Nota: Festeggiamo la riapertura,Memorándum: Celebrar la reapertura,Memo: Comemoração da Reabertura,Записка: празднование повторного открытия,บันทึก​: เฉลิมฉลอง​การ​เปิด​ใหม่,Ghi chú: Chúc Mừng Khai Trương Lại,Memo: Merayakan Pembukaan Kembali
集装箱清理者的留言,貨櫃箱清理者的留言,Memo: Container Crate Cleaner,コンテナ整理係のメモ,컨테이너 정리 담당의 메시지,Mémo : nettoyage de conteneurs,Memo: Containergucker,Nota: Responsabile della pulizia dei contenitori,Memorándum: Limpiador de contenedores de carga,Memo: Limpador de Contêineres,Записка: чистильщик контейнеров,บันทึก​: เจ้าหน้าที่​ทำความสะอาด​ลัง,Ghi chú: Dọn Dẹp Thùng Hàng,Memo: Pembersih Kerat Kontainer
申请降温装置的留言,申請降溫裝置的留言,Memo: Cooling Facility Required,冷却装置を申請するメモ,냉각 장치 신청 메시지,Mémo : installation de refroidissement nécessaire,Memo: Kühlanlage benötigt,Nota: Richiesta struttura di raffreddamento,Memorándum: Se requiere instalación de enfriamiento,Memo: Necessidade de Instalação de Resfriamento,Записка: требуется система охлаждения,บันทึก​: ต้องการ​สิ่งอำนวยความสะดวก​การ​ระบาย​ความร้อน,Ghi chú: Cần Cơ Sở Làm Mát,Memo: Butuh Fasilitas Pendingin
仓库守卫的备忘,倉庫守衛的備忘錄,Memo: Depot Guard,倉庫の警備員のメモ,창고 경비원의 메모,Mémo : garde d'entrepôt,Memo: Depot-Wächter,Nota: Difesa del deposito,Memorándum: Guardia del depósito,Memo: Guarda do Depósito,Записка: страж склада,บันทึก​: ยาม​เฝ้า​คลังสินค้า,Ghi Chú: Vệ Binh Kho Hàng,Memo: Penjaga Depot
灰心寨民的留言,灰心寨民的留言,Memo: Discouraged Stockade Resident,落胆した砦の住民のメモ,낙담한 청파채 주민이 남긴 메시지,Mémo : palanquienne découragée,Notiz: Mutloser Palisadenbewohner,Nota: Residente della Palizzata scoraggiato,Memorándum: Residente de la empalizada desanimado,Memo: Habitante da Paliçada Desanimado,Записка: удрученный житель лагеря,บันทึก​: ผู้อยู่อาศัย​ใน​ค่าย​ที่​ท้อแท้,Ghi Chú: Dân Trại Nản Chí,Memo: Warga Kampung Benteng yang Kecewa
紧急留言,緊急留言,Memo: Emergency,緊急のメモ,긴급 메시지,Mémo : urgence,Memo: Notfall,Nota: Emergenza,Memorándum: Emergencia,Memo: Emergência,Записка: чрезвычайная ситуация,บันทึก​: เหตุฉุกเฉิน,Ghi chú: Khẩn Cấp,Memo: Darurat
情绪激动的留言,情緒激動的留言,Memo: Extremely Emotional,感情的なメモ,격해진 감정으로 남긴 메시지,Mémo : émotivité exacerbée,Memo: Extrem emotional,Nota: Estrema emotività,Memorándum: Extremadamente emocional,Memo: Extremamente Emocional,Записка: крайне эмоциональная,บันทึก​: บีบคั้น​อารมณ์​แบบ​สุ​ดๆ,Ghi chú: Vô Cùng Kích Động,Memo: Sangat Emosional
宣扬仇恨的留言,宣揚仇恨的留言,Memo: Fanning the Hatred,憎しみをあおるメモ,증오를 선동하는 메시지,Mémo : attiser la haine,Notiz: Hass befeuern,Nota: Alimentare l'odio,Memorándum: Avivando el odio,Memo: Alimentando o Ódio,Записка: разжигая ненависть,บันทึก​: การ​สุมไฟ​แค้น,Ghi Chú: Thổi Bùng Hận Thù,Memo: Menyulut Kebencian
予后来者书,予後來者書,Memo: For Posterity,後から来る者へ遺す書,후발자에게 남기는 글,Notes pour la postérité,Notiz: An die Nachwelt,Nota: Ai posteri,Nota: A la posteridad,Memo: Para a Posteridade,Записка для потомков,บันทึก​: เพื่อ​ชน​รุ่นหลัง,Ghi Chú: Lưu Cho Hậu Thế,Memo: Untuk Generasi Mendatang
工人留言,工人留言,Memo: From a Crew Mate,作業員のメモ,작업자의 메시지,Note d'un membre de l'équipe,Memo: Von einem Crewmitglied,Nota: Da un membro del personale,Memorándum: De un miembro de la tripulación,Memo: De um Companheiro de Equipe,Записка от сотрудника,บันทึก​: จาก​เพื่อน​ลูกเรือ,Ghi chú: Từ một Thành Viên Công Đoàn,Memo: Dari Rekan Kru
组织探病的留言,安排探病的留言,Memo: Group Visit for an Injured Friend,お見舞いを呼びかけるメモ,문병 가자고 한 사람의 메시지,Mémo : visite groupée à un ami blessé,Notiz: Gruppenbesuch bei einem verwundeten Freund,Nota: Visita di gruppo a un amico ferito,Memorándum: Visita en grupo a un amigo herido,Memo: Visita em Grupo a um Amigo Ferido,Записка: группа посетителей к раненому другу,บันทึก​: รวมกลุ่ม​ไป​เยี่ยม​เพื่อน​ที่​บาดเจ็บ,Ghi Chép: Nhóm Viếng Thăm Người Bạn Bị Thương,Memo: Kunjungan Bersama untuk Teman yang Terluka
工具店店主的留言,工具店老闆的留言,Memo: Hardware Store Owner,道具屋店主の記録,공구점 주인이 남긴 메시지,Note du propriétaire du magasin de matériel,Memo: Baumarktbesitzer,Nota: Rivenditrice di attrezzature,Memorándum: Dueño de ferretería,Memo: Proprietário da Loja de Ferragens,Записка владельца магазина инструментов,บันทึก​: เจ้าของร้าน​ฮาร์ดแวร์,Ghi chú: Chủ Cửa Hàng Phần Cứng,Memo: Pemilik Toko Perkakas
匆忙传递的纸条,匆忙傳遞的紙條,Memo: Hurried Written and Delivered,慌てて渡されたメモ,급히 주고받은 쪽지,Mémo écrit et envoyé à la hâte,Notiz: Schnell geschrieben und ausgeliefert,Nota scritta e consegnata in fretta,Memorándum: Escrito y entregado con prisa,Memo: Escrito e Entregue às pressas,Записка: написано и доставлено в спешке,บันทึก​: เขียน​และ​ส่ง​ด้วย​ความเร่ง​รีบ,Ghi Chú: Tốc Ký Và Giao Hàng,Memo: Ditulis dan Dikirimkan Terburu-Buru
得见光明者的留言,得見光明者的留言,Memo: I've Seen the Light,光を見出した者のメモ,빛을 본 자의 메시지,Mémo : j'ai vu la lumière,Memo: Erkenntnis,Nota: Ho visto la luce,Memorándum: He visto la luz,Memo: Eu Vi a Luz,Записка: надежда жива,บันทึก​: ฉัน​ได้​มองเห็น​แสงสว่าง​แล้ว,Ghi chú: Tôi đã nhìn thấy ánh sáng,Memo: Aku Lihat Cahaya
清洁人员的留言,清潔人員的留言,Memo: Janitor,清掃員のメモ,청소 담당의 메시지,Note du concierge,Memo: Hausmeister,Nota: Inserviente,Memorándum: Conserje,Memo: Zelador,Записка уборщика,บันทึก​: พนักงาน​ทำความสะอาด,Ghi chú: Người quét dọn,Memo: Petugas Kebersihan
新人巡林员的备忘录（一）,新人巡林員的備忘錄（一）,Memo: Junior Ranger (1),新人巡林員のメモ帳（1）,신입 산림 관리원의 메모(1),Mémo : ranger junior (1),Memo: Junior-Ranger (1),Nota: Ranger in erba (1),Memorándum: Guardabosques novato (1),Memo: Patrulheiro Júnior (1),Записка: младший рейнджер (1),บันทึก​: เรนเจอร์​ฝึกหัด​ (1),Ghi Chú: Tân Binh Kiểm Lâm (1),Memo: Jagawana Junior (1)
新人巡林员的备忘录（二）,新人巡林員的備忘錄（二）,Memo: Junior Ranger (2),新人巡林員のメモ帳（2）,신입 산림 관리원의 메모(2),Mémo : ranger junior (2),Memo: Junior-Ranger (2),Nota: Ranger in erba (2),Memorándum: Guardabosques novato (2),Memo: Patrulheiro Júnior (2),Записка: младший рейнджер (2),บันทึก​: เรนเจอร์​ฝึกหัด​ (2),Ghi Chú: Tân Binh Kiểm Lâm (2),Memo: Jagawana Junior (2)
新人巡林员的备忘录（三）,新人巡林員的備忘錄（三）,Memo: Junior Ranger (3),新人巡林員のメモ帳（3）,신입 산림 관리원의 메모(3),Mémo : ranger junior (3),Memo: Junior-Ranger (3),Nota: Ranger in erba (3),Memorándum: Guardabosques novato (3),Memo: Patrulheiro Júnior (3),Записка: младший рейнджер (3),บันทึก​: เรนเจอร์​ฝึกหัด​ (3),Ghi Chú: Tân Binh Kiểm Lâm (3),Memo: Jagawana Junior (3)
新人巡林员的备忘录（四）,新人巡林員的備忘錄（四）,Memo: Junior Ranger (4),新人巡林員のメモ帳（4）,신입 산림 관리원의 메모(4),Mémo : ranger junior (4),Memo: Junior-Ranger (4),Nota: Ranger in erba (4),Memorándum: Guardabosques novato (4),Memo: Patrulheiro Júnior (4),Записка: младший рейнджер (4),บันทึก​: เรนเจอร์​ฝึกหัด​ (4),Ghi Chú: Tân Binh Kiểm Lâm (4),Memo: Jagawana Junior (4)
忧郁天师的留言（一）,憂鬱天師的留言（一）,Memo: Melancholy Tianshi (1),憂える天師の言葉（1）,우울한 천사의 메시지(1),Mémo : Tianshi mélancolique (1),Memo: Melancholischer Tianshi (1),Nota: Melanconia Tianshi (1),Memorándum: Tianshi melancólico (1),Memo: Tianshi Melancólico (1),Записка: меланхоличный Тяньши (1),บันทึก​: ความ​โศกเศร้า​ของ​เทียน​ซือ​ (1),Ghi Chú: Thiên Sư U Sầu (1),Memo: Tianshi Melankolis (1)
忧郁天师的留言（二）,憂鬱天師的留言（二）,Memo: Melancholy Tianshi (2),憂える天師の言葉（2）,우울한 천사의 메시지(2),Mémo : Tianshi mélancolique (2),Memo: Melancholischer Tianshi (2),Nota: Melanconia Tianshi (2),Memorándum: Tianshi melancólico (2),Memo: Tianshi Melancólico (2),Записка: меланхоличный Тяньши (2),บันทึก​: ความ​โศกเศร้า​ของ​เทียน​ซือ​ (2),Ghi Chú: Thiên Sư U Sầu (2),Memo: Tianshi Melankolis (2)
矿工的留言,礦工的留言,Memo: Miner,坑夫のメモ,광부의 메시지,Mémo : mineur,Memo: Bergarbeiter,Nota: Minatore,Memorándum: Minero,Memo: Mineiro,Записка: шахтер,บันทึก​: คนงาน​เหมือง,Ghi chú: Thợ mỏ,Memo: Penambang
翻山者的留言,翻山者的留言,Memo: Mountaineer,山を越える者のメモ,산을 넘은 자의 메시지,Mémo : alpiniste,Memo: Bergsteiger,Nota: Alpinista,Memorándum: Alpinista,Memo: Montanhista,Записка: альпинист,บันทึก​: นัก​ปีน​เขา,Ghi chú: Người Leo Núi,Memo: Pendaki Gunung
乘错竹筏者的留言,乘錯竹筏者的留言,Memo: One Who Took the Wrong Raft,間違ったいかだに乗った人のメモ,뗏목을 잘못 탄 사람의 메시지,Mémo : celui qui a pris le mauvais canot,Memo: Wer auf das falsche Floß aufstieg,Nota: Chi ha preso la zattera sbagliata,Memorándum: Alguien que tomó la balsa equivocada,Memo: Aquele Que Embarcou na Jangada Errada,Записка: кто взял не тот плот,บันทึก​: คน​ขึ้น​แพ​ผิด​ลำ,Ghi Chú: Người Lấy Nhầm Bè,Memo: Penumpang yang Salah Naik Rakit
源石研究员的留言,源石研究員的留言,Memo: Originium Scientist,源石研究員のメモ,오리지늄 연구원의 메시지,Mémo : sciences de l'originium,Memo: Originium-Forscher,Nota: Specialista di Originium,Memorándum: Científico de Originio,Memo: Cientista de Originium,Записка: специалист по ориджинию,บันทึก​: นักวิทยาศาสตร์​ออ​ริ​จิ​เนียม,Ghi chú: Nhà Khoa Học Originium,Memo: Ilmuwan Originium
绘画者的留言,繪畫者的留言,Memo: Painter,絵を描く者のメモ,화가의 메시지,Mémo : peintre,Memo: Maler,Nota: Artista,Memorándum: Pintor,Memo: Pintor,Записка: художник,บันทึก​: จิตรกร,Ghi chú: Họa Sĩ,Memo: Pelukis
劝说的留言,勸說的留言,Memo: Piece of Advice,説得の言葉が書かれているメモ,권고하는 메시지,Note : petit conseil,Memo: Ein Ratschlag,Nota: Consiglio,Memorándum: Consejo,Memo: Um Conselho,Записка: совет,บันทึก​: คำแนะนำ​บางส่วน,Ghi Chú: Lời Khuyên,Memo: Sedikit Saran
竹筏维修者的留言,竹筏維修者的留言,Memo: Raft Maintenance,いかだ整備員のメモ,뗏목 수리공이 남긴 메시지,Mémo : entretien des canots,Notiz: Floßwartung,Nota: Manutenzione delle zattere,Memorándum: Mantenimiento de balsas,Memo: Manutenção da Jangada,Записка: обслуживание плотов,บันทึก​: การซ่อมแซม​แพ,Ghi Chú: Bảo Dưỡng Bè,Memo: Pemeliharaan Rakit
研究者的备忘（一）,研究者的備忘錄（一）,Memo: Researcher's Notes (1),研究者のメモ（1）,연구원의 메모(1),Mémo : notes de recherche (1),Memo: Forschernotizen (1),Nota: Appunti di ricerca (1),Memorándum: Notas de investigación (1),Memo: Notas do Pesquisador (1),Записка: заметки исследователя (1),บันทึก​: บันทึก​ของ​นักวิจัย​ (1),Ghi Chú: Ghi Chú Của Nhà Nghiên Cứu (1),Memo: Catatan Peneliti (1)
研究者的备忘（二）,研究者的備忘錄（二）,Memo: Researcher's Notes (2),研究者のメモ（2）,연구원의 메모(2),Mémo : notes de recherche (2),Memo: Forschernotizen (2),Nota: Appunti di ricerca (2),Memorándum: Notas de investigación (2),Memo: Notas do Pesquisador (2),Записка: заметки исследователя (2),บันทึก​: บันทึก​ของ​นักวิจัย​ (2),Ghi Chú: Ghi Chú Của Nhà Nghiên Cứu (2),Memo: Catatan Peneliti (2)
研究者的备忘（三）,研究者的備忘錄（三）,Memo: Researcher's Notes (3),研究者のメモ（3）,연구원의 메모(3),Mémo : notes de recherche (3),Memo: Forschernotizen (3),Nota: Appunti di ricerca (3),Memorándum: Notas de investigación (3),Memo: Notas do Pesquisador (3),Записка: заметки исследователя (3),บันทึก​: บันทึก​ของ​นักวิจัย​ (3),Ghi Chú: Ghi Chú Của Nhà Nghiên Cứu (3),Memo: Catatan Peneliti (3)
研究者的备忘（四）,研究者的備忘錄（四）,Memo: Researcher's Notes (4),研究者のメモ（4）,연구원의 메모(4),Mémo : notes de recherche (4),Memo: Forschernotizen (4),Nota: Appunti di ricerca (4),Memorándum: Notas de investigación (4),Memo: Notas do Pesquisador (4),Записка: заметки исследователя (4),บันทึก​: บันทึก​ของ​นักวิจัย​ (4),Ghi Chú: Ghi Chú Của Nhà Nghiên Cứu (4),Memo: Catatan Peneliti (4)
二手终端上的留言,二手終端上的留言,Memo: Secondhand Terminal,中古端末に残されたメッセージ,중고 단말기에 남겨진 메시지,Mémo : terminal d'occasion,Memo: Secondhand-Terminal,Nota: Terminale di seconda mano,Memorándum: Terminal de segunda mano,Memo: Terminal de Segunda Mão,Записка: подержанный терминал,บันทึก​: เทอร์​มิ​นัล​มือสอง,Ghi Chú: Thiết Bị Cũ,Memo: Terminal Bekas
带暗号的留言,帶暗號的留言,Memo: Secret Code,暗号付きのメッセージ,암호가 섞인 메시지,Mémo : code secret,Notiz: Geheimer Code,Nota: Codice segreto,Memorándum: Código secreto,Memo: Código Secreto,Записка: тайный шифр,บันทึก​: รหัสลับ,Ghi Chú: Mật Mã,Memo: Kode Rahasia
午休者的留言,午休者的留言,Memo: Siesta Taker,昼休み中の人の記録,점심 먹고 쉬던 사람의 메시지,Note du candidat de Siesta,Memo: Siesta,Nota: Acquirente di Siesta,Memorándum: Tomar una siesta,Memo: Mestre da Siesta,Составленная во время сиесты записка,บันทึก​: เซียส​ตา​ เทค​เกอร์,Ghi chú: Siesta Taker,Memo: Pencari Siesta
感谢者的留言,感謝者的留言,Memo: Sincere Gratitude,感謝する者のメモ,감사를 전하는 메시지,Mémo : profonde gratitude,Memo: Aufrichtiger Dank,Nota: Sincera gratitudine,Memorándum: Agradecimiento sincero,Memo: Gratidão Sincera,Записка: искренняя благодарность,บันทึก​: ขอบคุณ​อย่างจริงใจ,Ghi chú: Lòng Biết Ơn Chân Thành,Memo: Ucapan Terima Kasih yang Tulus
写生者的备忘录,寫生者的備忘錄,Memo: Sketcher,写生する人のメモ帳,그림 그리는 사람의 메모,Mémo : un artiste,Memo: Zeichner,Nota: Disegnatore,Memorándum: Dibujante,Memo: Desenhista,Записка: рисовальщик,บันทึก​: นัก​วาดภาพ,Ghi Chú: Người Phác Thảo,Memo: Pembuat Sketsa
劝说者的留言,勸說者的留言,Memo: Someone's Advice,説得の言葉が書かれているメモ,설득하는 사람이 남긴 메시지,Note : conseil anonyme,Notiz: Ein Ratschlag,Nota: Consiglio,Memorándum: El consejo de alguien,Memo: Recomendação de alguém,Записка: чей-то совет,บันทึก​: คำแนะนำ​จาก​ใคร​บางคน,Ghi Chép: Lời Khuyên Của Ai Đó,Memo: Saran Seseorang
进货备忘,進貨備忘錄,Memo: Stock Purchase,仕入れメモ,화물 입고 메모,Mémo : achat de réserve,Memo: Vorratserwerb,Nota: Acquisto scorte,Memorándum: Compra de inventario,Memo: Compra de Estoque,Записка: закупки,บันทึก​: การ​ซื้อ​สินค้า​คงคลัง,Ghi Chú: Mua Vật Tư,Memo: Pembelian Stok
提醒打针的留言,提醒打針的留言,Memo: Take Your Meds,注射に関するメモ,주사 알림 메시지,Mémo : prenez vos médocs,Memo: Medikamente nicht vergessen!,Nota: Prendere i medicinali,Memorándum: Toma tus medicamentos,Memo: Tome seus remédios,Записка: прием лекарств,บันทึก​: โปรด​รับประทาน​ยา​ของ​คุณ,Ghi chú: Hãy Uống Thuốc Của Cậu,Memo: Minum Obatmu
坚定者的留言,堅定者的留言,Memo: The Determined,意志の固い者のメモ,굳센 자가 남긴 메시지,Mémo : détermination,Notiz: Die Entschlossenen,Nota: Determinazione,Memorándum: El decidido,Memo: Os Determinados,Записка: решимость,บันทึก​: ผู้​มุ่งมั่น,Ghi Chú: Người Kiên Quyết,Memo: Orang yang Gigih
看守者的留言,看守者的留言,Memo: The Guard,見張りのメモ,경비원이 남긴 메시지,Mémo : garde,Notiz: Der Wächter,Nota: La guardia,Memorándum: El guardia,Memo: O Guarda,Записка: страж,บันทึก​: ผู้คุ้มกัน,Ghi Chú: Vệ Binh,Memo: Sang Penjaga
咒骂者的留言,咒罵者的留言,Memo: The One in Rage,罵倒する者のメモ,저주하는 자가 남긴 메시지,Mémo : enragé,Notiz: Der Zornige,Memo: La furia,Memorándum: El que esta en ira,Memo: O Furioso,Записка: негодование,บันทึก​: ผู้​ตก​อยู่​ใน​โทสะ,Ghi Chú: Kẻ Phẫn Nộ,Memo: Orang yang Murka
仇恨的留声,仇恨的留聲,Memo: The One Stuck in Hatred,憎しみのこもったメッセージ,증오하는 사람이 남긴 메시지,Mémo : prison de haine,Notiz: Der im Hass Verfangene,Nota: L'odio che intrappola,Memorándum: El que está atrapado en el odio,Memo: Aquele Preso no Ódio,Записка: в плену ненависти,บันทึก​: ผู้​ติด​อยู่​ใน​ความแค้น,Ghi Chú: Kẻ Hận Thù,Memo: Orang yang Terperangkap dalam Kebencian
写生者的喜悦留言,寫生者的喜悅留言,Memo: The Sketcher's Joy,写生する人の喜びに満ちたメモ,그림 그리는 사람의 기쁨 어린 메시지,Mémo : joie d'un dessinateur,Notiz: Freuden eines Zeichners,Nota: La gioia del disegnatore,Memorándum: La alegría del dibujante,Memo: A Alegria do Desenhista,Записка: восторг рисовальщика,บันทึก​: ความปิติ​ของ​นัก​วาดภาพ,Ghi Chú: Niềm Vui Của Người Phác Thảo,Memo: Kebahagiaan Pembuat Sketsa
苦练格斗者的留言,苦練格鬥者的留言,Memo: The Training Fighter,格闘の修行に励む者の言葉,격투기를 갈고 닦은 자가 남긴 메시지,Mémo : combattant à l'entraînement,Notiz: Der Übungskämpfer,Nota: Aspirante combattente,Memorándum: El peleador en entrenamiento,Memo: Lutador em Treinamento,Записка: подготовка бойца,บันทึก​: นัก​สู้​ฝึกหัด,Ghi Chú: Chiến Binh Tập Luyện,Memo: Sang Petarung Latihan
天师的留言,天師的留言,Memo: Tianshi,天師のメッセージ,천사의 메시지,Mémo : Tianshi,Notiz: Tianshi,Nota: Tianshi,Nota: Tianshi,Memo: Tianshi,Записка: Тяньши,บันทึก​: เทียน​ซือ,Ghi Chú: Thiên Sư,Memo: Tianshi
巨兽研究天师的留言,巨獸研究天師的留言,Memo: Tianshi on a Feranmut Research Project,巨獣研究をしている天師のメモ,베헤모스를 연구하는 천사가 남긴 메시지,Mémo : Tianshi affectée à un projet de recherche sur les feranmouths,Notiz: Tianshi über ein Feranmut-Forschungsprojekt,Nota: Tianshi in un progetto di ricerca sul Feranmut,Nota: Tianshi sobre un proyecto de investigación de Feranmut,Memo: Tianshi em um Projeto de Pesquisa sobre Feranmut,Записка: Тяньши о проекте по изучению феранмутов,บันทึก​: เทียน​ซือ​เกี่ยวกับ​โครงการวิจัย​เฟ​ราน​มุ​ต,Ghi Chép: Thiên Sư Trong Dự Án Nghiên Cứu Cự Thú,Memo: Tianshi untuk Proyek Penelitian Feranmut
天师桩阵列日检备忘,天師樁陣列日檢備忘錄,Memo: Tianshi Pillar Array Daily Inspection,天師杭陣の日常点検メモ,천사장 배열 매일 점검 메모,Mémo : inspection quotidienne de la matrice du pilier des Tianshi,Memo: Tägliche Inspektion der Tianshi-Säulenreihe,Nota: Ispezione giornaliera della Schiera di colonne Tianshi,Memorándum: Inspección diaria del Conjunto de pilares de Tianshi,Memo: Inspeção Diária do Conjunto de Pilares de Tianshi,Записка: ежедневный осмотр группы столбов Тяньши,บันทึก​: การ​ตรวจสอบ​แนว​เสา​เทียน​ซือ​ประจำวัน,Ghi Chú: Kiểm Tra Hàng Ngày Của Trận Cột Thiên Sư,Memo: Pemeriksaan Harian Susunan Pilar Tianshi
写生者的苦恼留言,寫生者的苦惱留言,Memo: Troubled Sketcher,写生する人の苦悩に満ちたメモ,그림 그리는 사람이 남긴 고뇌의 메시지,Mémo : un artiste préoccupé,Memo: Aufgewühlter Zeichner,Nota: Disegnatore in difficoltà,Memorándum: Dibujante con problemas,Memo: Desenhista Preocupado,Записка: встревоженный рисовальщик,บันทึก​: นัก​วาดภาพ​เจ้า​ปัญหา,Ghi Chú: Người Phác Thảo Gặp Rắc Rối,Memo: Pembuat Sketsa yang Gelisah
语气阴狠的留言,語氣陰狠的留言,Memo: Vicious Words,陰湿な口調のメモ,음흉한 말투의 메시지,Mémo : propos malveillants,Notiz: Harsche Worte,Nota: Parole crudeli,Memorándum: Palabras crueles,Memo: Palavras Cruéis,Записка: жестокие слова,บันทึก​: ถ้อยคำ​ร้ายกาจ,Ghi Chú: Lời Thanh Trừng,Memo: Kata-Kata Jahat
武器专家的备忘（一）,武器專家的備忘錄（一）,Memo: Weapons Expert (1),武器専門家の覚書（1）,무기 전문가의 메모(1),Mémo : expertise en arme (1),Memo: Waffenexperte (1),Nota: Specialista in armi (1),Memorándum: Experto en armas (1),Memo: Especialista em Armas (1),Записка: оружейный эксперт (1),บันทึก​: ผู้เชี่ยวชาญ​อาวุธ​ (1),Ghi Chú: Chuyên Gia Vũ Khí (1),Memo: Pakar Senjata (1)
武器专家的备忘（二）,武器專家的備忘錄（二）,Memo: Weapons Expert (2),武器専門家の覚書（2）,무기 전문가의 메모(2),Mémo : expertise en arme (2),Memo: Waffenexperte (2),Nota: Specialista in armi (2),Memorándum: Experto en armas (2),Memo: Especialista em Armas (2),Записка: оружейный эксперт (2),บันทึก​: ผู้เชี่ยวชาญ​อาวุธ​ (2),Ghi Chú: Chuyên Gia Vũ Khí (2),Memo: Pakar Senjata (2)
武器专家的备忘（三）,武器專家的備忘錄（三）,Memo: Weapons Expert (3),武器専門家の覚書（3）,무기 전문가의 메모(3),Mémo : expertise en arme (3),Memo: Waffenexperte (3),Nota: Specialista in armi (3),Memorándum: Experto en armas (3),Memo: Especialista em Armas (3),Записка: оружейный эксперт (3),บันทึก​: ผู้เชี่ยวชาญ​อาวุธ​ (3),Ghi Chú: Chuyên Gia Vũ Khí (3),Memo: Pakar Senjata (3)
被泡皱的便签,被泡皺的便條,Memo: Wrinkled and Wet,ぐしゃぐしゃになった付箋,물에 젖어 구겨진 메모지,Note froissée et mouillée,Memo: Zerknittert und nass,Nota: Stropicciata e bagnaticcia,Memorándum: Arrugada y mojada,Memo: Enrugado e Molhado,Помятая и мокрая записка,บันทึก​: ยับ​ย่น​และ​เปียกปอน,Ghi chú: Nhàu Nát và Ướt Sũng,Memo: Kusut dan Basah
小贩回忆录（一）,小販回憶錄（一）,Memoirs: A Peddler (1),行商の回想（1）,행상인의 회고록(1),Mémoires d'un marchand ambulant (1),Memoiren: Ein Händler (1),Memorie di un mercante (1),Memorias: Un vendedor ambulante (1),Memórias: Um Mascate (1),Воспоминания: торговец (1),บันทึก​: พ่อค้าเร่​ (1),Hồi Ký: Người Bán Hàng Rong (1),Memoar: Seorang Pedagang (1)
小贩回忆录（二）,小販回憶錄（二）,Memoirs: A Peddler (2),行商の回想（2）,행상인의 회고록(2),Mémoires d'un marchand ambulant (2),Memoiren: Ein Händler (2),Memorie di un mercante (2),Memorias: Un vendedor ambulante (2),Memórias: Um Mascate (2),Воспоминания: торговец (2),บันทึก​: พ่อค้าเร่​ (2),Hồi Ký: Người Bán Hàng Rong (2),Memoar: Seorang Pedagang (2)
记忆网纸,記憶網紙,Memory Mesh,記憶のグリッド,기억의 매개체,Filet mémoriel,Erinnerungsgeflecht,Intreccio di ricordi,Malla de memoria,Malha de Memória,Сеть памяти,ตาข่าย​ความทรงจำ,Mạng Ký Ức,Jaring Ingatan
